id,description
C-88/89,"Removed from the register on 20 September 1990, Commission / Greece (C-88/89) ECLI:EU:C:1990:321"
C-89/89,"Brems / Council (C-89/89) ECLI:EU:C:1989:501, see Case  T-75/89"
C-90/89,"France / Council (C-90/89) , see Case  C-51/89"
C-91/89,"ITP / Commission (C-91/89) ECLI:EU:C:1989:502, see Case  T-76/89"
C-91/89,"ITP / Commission (C-91/89) , see Case  C-76/89 R"
C-92/89,"Zuckerfabrik Soest (C-92/89) , see Case  143/88"
C-93/89,"Judgment of 4 October 1991, Commission / Ireland (C-93/89, ECR 1991 p. I-4569) ECLI:EU:C:1991:374"
C-94/89,"Germany / Council (C-94/89) , see Case  C-51/89"
C-95/89,"Judgment of 16 July 1992, Commission / Italy (C-95/89, ECR 1992 p. I-4545) ECLI:EU:C:1992:323"
C-96/89,"Judgment of 16 May 1991, Commission / Netherlands (C-96/89, ECR 1991 p. I-2461) ECLI:EU:C:1991:213"
C-97/89,"Fabbrica Pisana / Commission (C-97/89) ECLI:EU:C:1989:503, see Case  T-77/89"
C-98/89,"PPG - Vernante Pennitalia / Commission (C-98/89) ECLI:EU:C:1989:504, see Case  T-78/89"
C-99/89,"Judgment of 13 November 1990, Yáñez-Campoy / Bundesanstalt für Arbeit (C-99/89, ECR 1990 p. I-4097) ECLI:EU:C:1990:394"
C-100/89,"Judgment of 12 December 1990, Kaefer and Procacci / French State (C-100/89 and C-101/89, ECR 1990 p. I-4647) ECLI:EU:C:1990:456"
C-101/89,"Procacci (C-101/89) , see Case  C-100/89"
C-102/89,"BASF / Commission (C-102/89) ECLI:EU:C:1989:505, see Case  T-79/89"
C-103/89,"BASF / Commission (C-103/89) ECLI:EU:C:1989:506, see Case  T-80/89"
C-104/89,"Judgment of 19 May 1992, Mulder and others / Council and Commission (C-104/89 and C-37/90, ECR 1992 p. I-3061)          (SVXII/I-55 FIXII/I-99) ECLI:EU:C:1992:217"
C-104/89,"Judgment of 27 January 2000, Mulder and others / Council and Commission (C-104/89 and C-37/90, ECR 2000 p. I-203) ECLI:EU:C:2000:38"
C-104/89 DEP,"Order of 6 January 2004, Mulder and others / Council and Commission (C-104/89 DEP, ECR 2004 p. I-1) ECLI:EU:C:2004:1"
C-105/89,"Judgment of 14 November 1990, Buhari Haji / INASTI (C-105/89, ECR 1990 p. I-4211) ECLI:EU:C:1990:402"
C-106/89,"Judgment of 13 November 1990, Marleasing / Comercial Internacional de Alimentación (C-106/89, ECR 1990 p. I-4135)          (SVX/00575 FIX/00599) ECLI:EU:C:1990:395"
C-107/89 R,"Order of 19 May 1989, Caturla-Poch / Parliament (C-107/89 R, ECR 1989 p. 1357, Summ.pub.) ECLI:EU:C:1989:208"
C-107/89,"Removed from the register on 28 September 1989, Caturla-Poch / Parliament (C-107/89) ECLI:EU:C:1989:354"
C-108/89,"Judgment of 5 April 1990, Pian / Office national des pensions (C-108/89, ECR 1990 p. I-1599) ECLI:EU:C:1990:167"
C-109/89,"Judgment of 5 April 1990, Office national des pensions / Bianchin (C-109/89, ECR 1990 p. I-1619, Summ.pub.) ECLI:EU:C:1990:168"
C-110/89,"Judgment of 30 May 1991, Commission / Greece (C-110/89, ECR 1991 p. I-2659) ECLI:EU:C:1991:227"
C-111/89,"Judgment of 2 May 1990, Netherlands State / Bakker Hillegom (C-111/89, ECR 1990 p. I-1735) ECLI:EU:C:1990:177"
C-112/89,"Judgment of 16 April 1991, Upjohn / Farzoo (C-112/89, ECR 1991 p. I-1703) ECLI:EU:C:1991:147"
C-113/89,"Judgment of 27 March 1990, Rush Portuguesa / Office national d'immigration (C-113/89, ECR 1990 p. I-1417)          (SVX/00389 FIX/00407) ECLI:EU:C:1990:142"
C-114/89,"Monsanto / Commission (C-114/89) ECLI:EU:C:1989:507, see Case  T-81/89"
C-115/89,"Marcato / Commission (C-115/89) ECLI:EU:C:1989:508, see Case  T-82/89"
C-116/89,"Judgment of 7 March 1991, BayWa / Hauptzollamt Weiden (C-116/89, ECR 1991 p. I-1095) ECLI:EU:C:1991:104"
C-117/89,"Judgment of 4 July 1990, Kracht / Bundesanstalt für Arbeit (C-117/89, ECR 1990 p. I-2781) ECLI:EU:C:1990:279"
C-118/89,"Judgment of 27 June 1990, Lingenfelser / Bundesamt für Ernährung und Forstwirtschaft (C-118/89, ECR 1990 p. I-2637) ECLI:EU:C:1990:267"
C-119/89,"Judgment of 26 February 1991, Commission / Spain (C-119/89, ECR 1991 p. I-641) ECLI:EU:C:1991:75"
C-120/89,"DSM / Commission (C-120/89) ECLI:EU:C:1989:509, see Case  T-83/89"
C-121/89,"LVM / Commission (C-121/89) ECLI:EU:C:1989:510, see Case  T-84/89"
C-122/89,"DSM / Commission (C-122/89) ECLI:EU:C:1989:511, see Case  T-85/89"
C-123/89,"Huels / Commission (C-123/89) ECLI:EU:C:1989:512, see Case  T-86/89"
C-124/89,"Orkem / Commission (C-124/89) ECLI:EU:C:1989:513, see Case  T-87/89"
C-125/89,"Bayer / Commission (C-125/89) ECLI:EU:C:1989:514, see Case  T-88/89"
C-126/89,"Atochem / Commission (C-126/89) ECLI:EU:C:1989:515, see Case  T-89/89"
C-127/89,"Atochem / Commission (C-127/89) ECLI:EU:C:1989:516, see Case  T-90/89"
C-128/89,"Judgment of 12 July 1990, Commission / Italy (C-128/89, ECR 1990 p. I-3239) ECLI:EU:C:1990:311"
C-129/89,"Société artésienne de vinyle / Commission (C-129/89) ECLI:EU:C:1989:517, see Case  T-91/89"
C-130/89,"Wacker Chemie / Commission (C-130/89) ECLI:EU:C:1989:518, see Case  T-92/89"
